24	000093	PROTEON INC.
24	000094	ASANTE TECHNOLOGIES
24	000095	SONY TEKTRONIX CORP.
24	000096	MARCONI ELECTRONICS LTD.
24	000097	Dell EMC
24	000098	CROSSCOMM CORPORATION
24	000099	MTX, INC.
24	00009A	RC COMPUTER A/S
24	00009B	INFORMATION INTERNATIONAL, INC
24	00009C	ROLM MIL-SPEC COMPUTERS
24	00009D	LOCUS COMPUTING CORPORATION
24	00009E	MARLI S.A.
24	00009F	AMERISTAR TECHNOLOGIES INC.
24	0000A0	SANYO Electric Co., Ltd.
24	0000A1	MARQUETTE ELECTRIC CO.
24	0000A2	Bay Networks
24	0000A3	NETWORK APPLICATION TECHNOLOGY
24	0000A4	ACORN COMPUTERS LIMITED
24	0000A5	Tattile SRL
24	0000A6	NETWORK GENERAL CORPORATION
24	0000A7	NETWORK COMPUTING DEVICES INC.
24	0000A8	Stratus Technologies
24	0000A9	NETWORK SYSTEMS CORP.
24	0000AA	XEROX CORPORATION
24	0000AB	LOGIC MODELING CORPORATION
24	0000AC	CONWARE COMPUTER CONSULTING
24	0000AD	BRUKER INSTRUMENTS INC.
24	0000AE	DASSAULT ELECTRONIQUE
24	0000AF	Canberra Industries, Inc.
24	0000B0	RND-RAD NETWORK DEVICES
24	0000B1	Alpha Micro
24	0000B2	TELEVIDEO SYSTEMS, INC.
24	0000B3	CIMLINC INCORPORATED
24	0000B4	Edimax Technology Co. Ltd.
24	0000B5	DATABILITY SOFTWARE SYS. INC.
24	0000B6	MICRO-MATIC RESEARCH
24	0000B7	DOVE COMPUTER CORPORATION
24	0000B8	SEIKOSHA CO., LTD.
24	0000B9	MCDONNELL DOUGLAS COMPUTER SYS
24	0000BA	SIIG, INC.
24	0000BB	TRI-DATA
24	0000BC	Rockwell Automation
24	0000BD	RYOSEI, Ltd.
24	0000BE	THE NTI GROUP
24	0000BF	SYMMETRIC COMPUTER SYSTEMS
24	0000C0	WESTERN DIGITAL CORPORATION
24	0000C1	Madge Ltd.
24	0000C2	INFORMATION PRESENTATION TECH.
24	0000C3	Harris Corporation
24	0000C4	WATERS DIV. OF MILLIPORE
24	0000C5	Commscope
24	0000C6	EON SYSTEMS
24	0000C7	ARIX CORPORATION
24	0000C8	ALTOS COMPUTER SYSTEMS
24	0000C9	Emulex Corporation
24	0000CA	Commscope
24	0000CB	COMPU-SHACK ELECTRONIC GMBH
24	0000CC	DENSAN CO., LTD.
24	0000CD	Allied Telesis Labs Ltd
24	0000CE	MEGADATA CORP.
24	0000CF	HAYES MICROCOMPUTER PRODUCTS
24	0000D0	DEVELCON ELECTRONICS LTD.
24	0000D1	ADAPTEC INCORPORATED
24	0000D2	SBE, INC.
24	0000D3	WANG LABORATORIES INC.
24	0000D4	PURE DATA LTD.
24	0000D5	MICROGNOSIS INTERNATIONAL
24	0000D6	PUNCH LINE HOLDING
24	0000D7	DARTMOUTH COLLEGE
24	0000D8	Novell, Inc.
24	0000D9	NIPPON TELEGRAPH & TELEPHONE
24	0000DA	ATEX
24	0000DB	British Telecommunications plc
24	0000DC	HAYES MICROCOMPUTER PRODUCTS
24	0000DD	TCL INCORPORATED
24	0000DE	CETIA
24	0000DF	BELL & HOWELL PUB SYS DIV
24	0000E0	QUADRAM CORP.
24	0000E1	GRID SYSTEMS
24	0000E2	ACER TECHNOLOGIES CORP.
24	0000E3	INTEGRATED MICRO PRODUCTS LTD
24	0000E4	IN2 GROUPE INTERTECHNIQUE
24	0000E5	SIGMEX LTD.
24	0000E6	APTOR PRODUITS DE COMM INDUST
24	0000E7	Star Gate Technologies
24	0000E8	ACCTON TECHNOLOGY CORP.
24	0000E9	ISICAD, INC.
24	0000EA	UPNOD AB
24	0000EB	MATSUSHITA COMM. IND. CO. LTD.
24	0000EC	MICROPROCESS
24	0000ED	APRIL
24	0000EE	NETWORK DESIGNERS, LTD.
24	0000EF	KTI
24	0000F0	Samsung Electronics Co.,Ltd
24	0000F1	MAGNA COMPUTER CORPORATION
24	0000F2	SPIDER COMMUNICATIONS
24	0000F3	GANDALF DATA LIMITED
24	0000F4	Allied Telesis, Inc.
24	0000F5	DIAMOND SALES LIMITED
24	0000F6	APPLIED MICROSYSTEMS CORP.
24	0000F7	YOUTH KEEP ENTERPRISE CO LTD
24	0000F8	DIGITAL EQUIPMENT CORPORATION
24	0000F9	QUOTRON SYSTEMS INC.
24	0000FA	MICROSAGE COMPUTER SYSTEMS INC
24	0000FB	RECHNER ZUR KOMMUNIKATION
24	0000FC	MEIKO
24	0000FD	HIGH LEVEL HARDWARE
24	0000FE	Annapolis Micro Systems, Inc.
24	0000FF	CAMTEC ELECTRONICS LTD.
24	000100	EQUIP'TRANS
24	000102	3COM
24	000103	3COM
24	000104	DVICO Co., Ltd.
24	000105	Beckhoff Automation GmbH
24	000106	Tews Datentechnik GmbH
24	000107	Leiser GmbH
24	000108	AVLAB Technology, Inc.
24	000109	Nagano Japan Radio Co., Ltd.
24	00010A	CIS TECHNOLOGY INC.
24	00010B	Space CyberLink, Inc.
24	00010C	System Talks Inc.
24	00010D	Teledyne DALSA Inc.
24	00010E	Bri-Link Technologies Co., Ltd
24	00010F	Brocade Communications Systems LLC
24	000110	Gotham Networks
24	000111	iDigm Inc.
24	000112	Shark Multimedia Inc.
24	000113	OLYMPUS CORPORATION
24	000114	KANDA TSUSHIN KOGYO CO., LTD.
24	000115	EXTRATECH CORPORATION
24	000116	Netspect Technologies, Inc.
24	000117	Canal +
24	000118	EZ Digital Co., Ltd.
24	000119	RTUnet (Australia)
24	00011A	Hoffmann und Burmeister GbR
24	00011B	Unizone Technologies, Inc.
24	00011C	Universal Talkware Corporation
24	00011D	Centillium Communications
24	00011E	Precidia Technologies, Inc.
24	00011F	RC Networks, Inc.
24	000120	OSCILLOQUARTZ S.A.
24	000121	WatchGuard Technologies, Inc.
24	000122	Trend Communications, Ltd.
24	000123	Schneider Electric Japan Holdings Ltd.
24	000124	Acer Incorporated
24	000125	YAESU MUSEN CO., LTD.
24	000126	PAC Labs
24	000127	OPEN Networks Pty Ltd
24	000128	EnjoyWeb, Inc.
24	000129	DFI Inc.
24	00012A	Telematica Sistems Inteligente
24	00012B	TELENET Co., Ltd.
24	00012C	Aravox Technologies, Inc.
24	00012D	Komodo Technology
24	00012E	PC Partner Ltd.
24	00012F	Twinhead International Corp
24	000130	Extreme Networks, Inc.
24	000131	Bosch Security Systems, Inc.
24	000132	Dranetz - BMI
24	000133	KYOWA Electronic Instruments C
24	000134	Selectron Systems AG
24	000135	KDC Corp.
24	000136	CyberTAN Technology Inc.
24	000137	IT Farm Corporation
24	000138	XAVi Technologies Corp.
24	000139	Point Multimedia Systems
24	00013A	SHELCAD COMMUNICATIONS, LTD.
24	00013B	BNA SYSTEMS
24	00013C	TIW SYSTEMS
24	00013D	RiscStation Ltd.
24	00013E	Ascom Tateco AB
24	00013F	Neighbor World Co., Ltd.
24	000140	Sendtek Corporation
24	000141	CABLE PRINT
24	000142	Cisco Systems, Inc
24	000143	Cisco Systems, Inc
24	000144	Dell EMC
24	000145	WINSYSTEMS, INC.
24	000146	Tesco Controls, Inc.
24	000147	Zhone Technologies, Inc.
24	000148	X-traWeb Inc.
24	000149	TDT AG
24	00014A	Sony Corporation
24	00014B	Ennovate Networks, Inc.
24	00014C	Berkeley Process Control
24	00014D	Shin Kin Enterprises Co., Ltd
24	00014E	WIN Enterprises, Inc.
24	00014F	Adtran Inc
24	000150	GILAT COMMUNICATIONS, LTD.
24	000151	Ensemble Communications
24	000152	CHROMATEK INC.
24	000153	ARCHTEK TELECOM CORPORATION
24	000154	G3M Corporation
24	000155	Promise Technology, Inc.
24	000156	FIREWIREDIRECT.COM, INC.
24	000157	SYSWAVE CO., LTD
24	000158	Electro Industries/Gauge Tech
24	000159	S1 Corporation
24	00015A	Digital Video Broadcasting
24	00015B	ITALTEL S.p.A/RF-UP-I
24	00015C	CADANT INC.
24	00015D	Oracle Corporation
24	00015E	BEST TECHNOLOGY CO., LTD.
24	00015F	DIGITAL DESIGN GmbH
24	000160	ELMEX Co., LTD.
24	000161	Meta Machine Technology
24	000162	Cygnet Technologies, Inc.
24	000163	Cisco Systems, Inc
24	000164	Cisco Systems, Inc
24	000165	AirSwitch Corporation
24	000166	TC GROUP A/S
24	000167	HIOKI E.E. CORPORATION
24	000168	VITANA CORPORATION
24	000169	Celestix Networks Pte Ltd.
24	00016A	ALITEC
24	00016B	LightChip, Inc.
24	00016C	FOXCONN
24	00016D	CarrierComm Inc.
24	00016E	Conklin Corporation
24	00016F	Inkel Corp.
24	000170	ESE Embedded System Engineer'g
24	000171	Allied Data Technologies
24	000172	TechnoLand Co., LTD.
24	000173	AMCC
24	000174	CyberOptics Corporation
24	000175	Radiant Communications Corp.
24	000176	Orient Silver Enterprises
24	000177	EDSL
24	000178	MARGI Systems, Inc.
24	000179	WIRELESS TECHNOLOGY, INC.
24	00017A	Chengdu Maipu Electric Industrial Co., Ltd.
24	00017B	Heidelberger Druckmaschinen AG
24	00017C	AG-E GmbH
24	00017D	ThermoQuest
24	00017E	ADTEK System Science Co., Ltd.
24	00017F	Experience Music Project
24	000180	AOpen, Inc.
24	000181	Nortel Networks
24	000182	DICA TECHNOLOGIES AG
24	000183	ANITE TELECOMS
24	000184	SIEB & MEYER AG
24	000185	Hitachi Aloka Medical, Ltd.
24	000186	Uwe Disch
24	000187	I2SE GmbH
24	000188	LXCO Technologies ag
24	000189	Refraction Technology, Inc.
24	00018A	ROI COMPUTER AG
24	00018B	NetLinks Co., Ltd.
24	00018C	Mega Vision
24	00018D	AudeSi Technologies
24	00018E	Logitec Corporation
24	00018F	Kenetec, Inc.
24	000190	SMK-M
24	000191	SYRED Data Systems
24	000192	Texas Digital Systems
24	000193	Hanbyul Telecom Co., Ltd.
24	000194	Capital Equipment Corporation
24	000195	Sena Technologies, Inc.
24	000196	Cisco Systems, Inc
24	000197	Cisco Systems, Inc
24	000198	Darim Vision
24	000199	HeiSei Electronics
24	00019A	LEUNIG GmbH
24	00019B	Kyoto Microcomputer Co., Ltd.
24	00019C	Lumentum
24	00019D	E-Control Systems, Inc.
24	00019E	ESS Technology, Inc.
24	00019F	ReadyNet
24	0001A0	Infinilink Corporation
24	0001A1	Mag-Tek, Inc.
24	0001A2	Logical Co., Ltd.
24	0001A3	GENESYS LOGIC, INC.
24	0001A4	Microlink Corporation
24	0001A5	Nextcomm, Inc.
24	0001A6	Scientific-Atlanta Arcodan A/S
24	0001A7	UNEX TECHNOLOGY CORPORATION
24	0001A8	Welltech Computer Co., Ltd.
24	0001A9	BMW AG
24	0001AA	Airspan Communications, Ltd.
24	0001AB	Main Street Networks
24	0001AC	Sitara Networks, Inc.
24	0001AD	Coach Master International d.b.a. CMI Worldwide, Inc.
24	0001AE	Trex Enterprises
24	0001AF	Artesyn Embedded Technologies
24	0001B0	Fulltek Technology Co., Ltd.
24	0001B1	General Bandwidth
24	0001B2	Digital Processing Systems, Inc.
24	0001B3	Precision Electronic Manufacturing
24	0001B4	Wayport, Inc.
24	0001B5	Turin Networks, Inc.
24	0001B6	SAEJIN T&M Co., Ltd.
24	0001B7	Centos, Inc.
24	0001B8	Netsensity, Inc.
24	0001B9	SKF (U.K.) Limited
24	0001BA	IC-Net, Inc.
24	0001BB	Frequentis
24	0001BC	Brains Corporation
24	0001BD	Peterson Electro-Musical Products, Inc.
24	0001BE	Gigalink Co., Ltd.
24	0001BF	Teleforce Co., Ltd.
24	0001C0	CompuLab, Ltd.
24	0001C1	Vitesse Semiconductor Corporation
24	0001C2	ARK Research Corp.
24	0001C3	Acromag, Inc.
24	0001C4	NeoWave, Inc.
24	0001C5	Simpler Networks
24	0001C6	Quarry Technologies
24	0001C7	Cisco Systems, Inc
